Comentario,Sentimiento,Profesor
Me gusta mucho cómo apoya el desarrollo personal porque es muy amable.,positivo,Omar
Valoro que responde todas las dudas porque es muy respetuoso.,positivo,David
Siempre me impresiona cómo tiene una gran actitud porque es muy puntual.,positivo,Aldo
Me gusta mucho cómo fomenta la participación porque es muy organizado.,positivo,Miguel
Lo mejor de sus clases es que responde todas las dudas porque es muy puntual.,positivo,Julián
Disfruto cuando siempre está disponible para ayudar porque es muy puntual.,positivo,Miguel
Lo mejor de sus clases es que responde todas las dudas porque es muy paciente.,positivo,Aldo
Disfruto cuando apoya el desarrollo personal porque es muy puntual.,positivo,Julián
Es muy admirable que tiene una gran actitud porque es muy comprometido.,positivo,Miguel
Es motivador cuando apoya el desarrollo personal porque es muy respetuoso.,positivo,Julián
Disfruto cuando fomenta la participación porque es muy organizado.,positivo,Omar
Es muy admirable que se preocupa por sus alumnos porque es muy claro.,positivo,Julián
Es muy admirable que apoya el desarrollo personal porque es muy dinámico.,positivo,David
Una de las mejores cosas es que tiene un gran dominio del tema porque es muy respetuoso.,positivo,Omar
Aprecio mucho que siempre está disponible para ayudar porque es muy excelente.,positivo,Julián
Una de las mejores cosas es que fomenta la participación porque es muy comprometido.,positivo,Julián
Es motivador cuando motiva a aprender porque es muy excelente.,positivo,Miguel
Siempre me impresiona cómo explica muy bien porque es muy respetuoso.,positivo,Omar
Siempre me impresiona cómo hace las clases interesantes porque es muy entusiasta.,positivo,Miguel
Me ayuda mucho que mantiene la clase activa porque es muy organizado.,positivo,David
Me encanta que fomenta la participación porque es muy comprensivo.,positivo,Miguel
Me parece genial que mantiene la clase activa porque es muy dedicado.,positivo,Omar
Es increíble cómo usa buenos ejemplos porque es muy creativo.,positivo,Julián
Me gusta mucho cómo mantiene la clase activa porque es muy respetuoso.,positivo,David
Una de las mejores cosas es que motiva a aprender porque es muy claro.,positivo,Omar
Aprecio mucho que fomenta la participación porque es muy puntual.,positivo,Ulises
Me parece genial que inspira a mejorar porque es muy creativo.,positivo,Omar
Valoro que motiva a aprender porque es muy amable.,positivo,Aldo
Es motivador cuando utiliza recursos útiles porque es muy amable.,positivo,Omar
Es destacable cómo siempre está disponible para ayudar porque es muy organizado.,positivo,Aldo
Disfruto cuando mantiene la clase activa porque es muy comprometido.,positivo,Julián
Disfruto cuando usa buenos ejemplos porque es muy paciente.,positivo,Ulises
Me encanta que transmite confianza porque es muy respetuoso.,positivo,Omar
Nunca deja de sorprenderme cómo inspira a mejorar porque es muy entusiasta.,positivo,Ulises
Lo mejor de sus clases es que explica muy bien porque es muy inspirador.,positivo,Miguel
Me ayuda mucho que usa buenos ejemplos porque es muy dedicado.,positivo,Omar
Es increíble cómo inspira a mejorar porque es muy organizado.,positivo,Miguel
Lo mejor de sus clases es que responde todas las dudas porque es muy inspirador.,positivo,Omar
Me parece genial que mantiene la clase activa porque es muy comprensivo.,positivo,Aldo
Una de las mejores cosas es que transmite confianza porque es muy comprensivo.,positivo,Miguel
Me encanta que se preocupa por sus alumnos porque es muy dinámico.,positivo,Ulises
Es motivador cuando usa buenos ejemplos porque es muy sabio.,positivo,Omar
Una de las mejores cosas es que apoya el desarrollo personal porque es muy creativo.,positivo,Omar
Me encanta que inspira a mejorar porque es muy inspirador.,positivo,Aldo
Es motivador cuando hace las clases interesantes porque es muy inspirador.,positivo,Julián
Una de las mejores cosas es que transmite confianza porque es muy respetuoso.,positivo,Aldo
Es increíble cómo motiva a aprender porque es muy puntual.,positivo,Aldo
Es muy admirable que hace las clases interesantes porque es muy entusiasta.,positivo,Miguel
Es muy admirable que mantiene la clase activa porque es muy sabio.,positivo,Omar
Aprecio mucho que inspira a mejorar porque es muy excelente.,positivo,Omar
Me gusta mucho cómo transmite confianza porque es muy amable.,positivo,Julián
Disfruto cuando tiene un gran dominio del tema porque es muy puntual.,positivo,Julián
Me parece genial que fomenta la participación porque es muy organizado.,positivo,Omar
Me parece genial que utiliza recursos útiles porque es muy excelente.,positivo,Miguel
Aprecio mucho que mantiene la clase activa porque es muy paciente.,positivo,Omar
Me encanta que utiliza recursos útiles porque es muy amable.,positivo,Ulises
Lo mejor de sus clases es que siempre está disponible para ayudar porque es muy excelente.,positivo,Miguel
Siempre me impresiona cómo fomenta la participación porque es muy sabio.,positivo,David
Aprecio mucho que utiliza recursos útiles porque es muy inspirador.,positivo,Aldo
Nunca deja de sorprenderme cómo hace las clases interesantes porque es muy dinámico.,positivo,Miguel
Me gusta mucho cómo mantiene la clase activa porque es muy organizado.,positivo,David
Es muy admirable que utiliza recursos útiles porque es muy puntual.,positivo,Aldo
Siempre me impresiona cómo apoya el desarrollo personal porque es muy comprometido.,positivo,David
Es increíble cómo hace las clases interesantes porque es muy sabio.,positivo,Ulises
Aprecio mucho que explica muy bien porque es muy claro.,positivo,Omar
Es destacable cómo usa buenos ejemplos porque es muy organizado.,positivo,Miguel
Es motivador cuando tiene una gran actitud porque es muy organizado.,positivo,Miguel
Me encanta que explica muy bien porque es muy organizado.,positivo,Julián
Es motivador cuando tiene un gran dominio del tema porque es muy dinámico.,positivo,David
Una de las mejores cosas es que responde todas las dudas porque es muy inspirador.,positivo,Aldo
Es increíble cómo apoya el desarrollo personal porque es muy inspirador.,positivo,Ulises
Lo mejor de sus clases es que tiene una gran actitud porque es muy creativo.,positivo,Ulises
Es muy admirable que utiliza recursos útiles porque es muy creativo.,positivo,Miguel
Es destacable cómo tiene una gran actitud porque es muy respetuoso.,positivo,Aldo
Me ayuda mucho que tiene un gran dominio del tema porque es muy dedicado.,positivo,Miguel
Lo mejor de sus clases es que mantiene la clase activa porque es muy dedicado.,positivo,Julián
Es destacable cómo responde todas las dudas porque es muy creativo.,positivo,Ulises
Aprecio mucho que responde todas las dudas porque es muy creativo.,positivo,Omar
Disfruto cuando explica muy bien porque es muy puntual.,positivo,David
Me ayuda mucho que responde todas las dudas porque es muy paciente.,positivo,Ulises
Lo mejor de sus clases es que explica muy bien porque es muy entusiasta.,positivo,Omar
Disfruto cuando fomenta la participación porque es muy amable.,positivo,Omar
Nunca deja de sorprenderme cómo usa buenos ejemplos porque es muy paciente.,positivo,Julián
Es increíble cómo fomenta la participación porque es muy dedicado.,positivo,Ulises
Es muy admirable que apoya el desarrollo personal porque es muy sabio.,positivo,David
Me ayuda mucho que utiliza recursos útiles porque es muy amable.,positivo,Julián
Siempre me impresiona cómo siempre está disponible para ayudar porque es muy sabio.,positivo,Omar
Me gusta mucho cómo explica muy bien porque es muy creativo.,positivo,Aldo
Una de las mejores cosas es que responde todas las dudas porque es muy entusiasta.,positivo,Omar
Es motivador cuando usa buenos ejemplos porque es muy entusiasta.,positivo,Miguel
Me parece genial que mantiene la clase activa porque es muy puntual.,positivo,Julián
Una de las mejores cosas es que inspira a mejorar porque es muy respetuoso.,positivo,Julián
Lo mejor de sus clases es que fomenta la participación porque es muy respetuoso.,positivo,Julián
Valoro que siempre está disponible para ayudar porque es muy creativo.,positivo,Miguel
Me ayuda mucho que motiva a aprender porque es muy claro.,positivo,Omar
Lo mejor de sus clases es que tiene una gran actitud porque es muy comprometido.,positivo,Julián
Es increíble cómo se preocupa por sus alumnos porque es muy excelente.,positivo,Miguel
Nunca deja de sorprenderme cómo siempre está disponible para ayudar porque es muy excelente.,positivo,Omar
Me encanta que utiliza recursos útiles porque es muy respetuoso.,positivo,Julián
Es destacable cómo se preocupa por sus alumnos porque es muy creativo.,positivo,Julián
Me parece genial que fomenta la participación porque es muy excelente.,positivo,David
Es muy admirable que motiva a aprender porque es muy amable.,positivo,Miguel
Me ayuda mucho que tiene una gran actitud porque es muy sabio.,positivo,Julián
Me parece genial que transmite confianza porque es muy puntual.,positivo,Omar
Me parece genial que mantiene la clase activa porque es muy respetuoso.,positivo,David
Es motivador cuando se preocupa por sus alumnos porque es muy claro.,positivo,Ulises
Una de las mejores cosas es que se preocupa por sus alumnos porque es muy claro.,positivo,Miguel
Me ayuda mucho que responde todas las dudas porque es muy puntual.,positivo,Omar
Una de las mejores cosas es que inspira a mejorar porque es muy excelente.,positivo,David
Es increíble cómo siempre está disponible para ayudar porque es muy amable.,positivo,Omar
Valoro que inspira a mejorar porque es muy inspirador.,positivo,Ulises
Es motivador cuando transmite confianza porque es muy paciente.,positivo,David
Disfruto cuando siempre está disponible para ayudar porque es muy amable.,positivo,Omar
Es destacable cómo apoya el desarrollo personal porque es muy organizado.,positivo,Aldo
Disfruto cuando explica muy bien porque es muy dedicado.,positivo,Ulises
Me ayuda mucho que fomenta la participación porque es muy paciente.,positivo,Omar
Valoro que mantiene la clase activa porque es muy respetuoso.,positivo,David
Es increíble cómo mantiene la clase activa porque es muy creativo.,positivo,Aldo
Es destacable cómo se preocupa por sus alumnos porque es muy organizado.,positivo,Aldo
Valoro que inspira a mejorar porque es muy comprometido.,positivo,Omar
Siempre me impresiona cómo responde todas las dudas porque es muy dedicado.,positivo,Aldo
Es motivador cuando responde todas las dudas porque es muy comprensivo.,positivo,Miguel
Es muy admirable que se preocupa por sus alumnos porque es muy puntual.,positivo,Miguel
Es motivador cuando explica muy bien porque es muy excelente.,positivo,Ulises
Me ayuda mucho que transmite confianza porque es muy claro.,positivo,Aldo
Siempre me impresiona cómo fomenta la participación porque es muy dinámico.,positivo,Miguel
Me encanta que se preocupa por sus alumnos porque es muy comprometido.,positivo,Miguel
Disfruto cuando utiliza recursos útiles porque es muy organizado.,positivo,Omar
Una de las mejores cosas es que fomenta la participación porque es muy inspirador.,positivo,Julián
Es increíble cómo tiene un gran dominio del tema porque es muy excelente.,positivo,Aldo
Me parece genial que usa buenos ejemplos porque es muy amable.,positivo,David
Me encanta que mantiene la clase activa porque es muy paciente.,positivo,Aldo
Nunca deja de sorprenderme cómo usa buenos ejemplos porque es muy sabio.,positivo,Miguel
Es destacable cómo se preocupa por sus alumnos porque es muy comprensivo.,positivo,Miguel
Nunca deja de sorprenderme cómo usa buenos ejemplos porque es muy creativo.,positivo,Aldo
Siempre me impresiona cómo apoya el desarrollo personal porque es muy creativo.,positivo,Omar
Siempre me impresiona cómo transmite confianza porque es muy paciente.,positivo,Julián
Me ayuda mucho que fomenta la participación porque es muy entusiasta.,positivo,Julián
Siempre me impresiona cómo hace las clases interesantes porque es muy respetuoso.,positivo,Omar
Siempre me impresiona cómo fomenta la participación porque es muy paciente.,positivo,Aldo
Es motivador cuando explica muy bien porque es muy comprensivo.,positivo,David
Disfruto cuando motiva a aprender porque es muy claro.,positivo,Miguel
